# sample xsection efficiency 
DYToEE 1915.083 0.999276
DYToMuMu 1915.083 0.999786
DYToTauTau 1915.083 0.999596
TTJets 234.0 0.997883
VBF_HToWWTo2LAndTau2Nu_M-125 0.035615 0.998531
VBF_HToZZTo4Nu_M-125 0.00174134 0.998921
VBFToHToZZTo2L2Nu_M-124 0.00170116 0.998368
VBF_HToZZTo2L2Q_M-125 0.005883 0.997846
VBF_HToTauTau_M-125 0.0997296 0.998096
WJetsToLNu 37509.0 0.999614
WW 54.838 0.998933
WZJetsTo2Q2Nu 4.4900 0.998935
WZJetsTo2L2Q 2.2674 0.998297
WZJetsTo3LNu 1.0868 0.998651
ZZJetsTo4L 0.1801 0.998648
ZZJetsTo2Q2Nu 4.9368 0.999193
ZZJetsTo2L2Q 2.4931 0.998059
ZZJetsTo2L2Nu 0.7132 0.998826


